,MAE,MSE,RMSE,QLIKE
GJR_normal,0.2552755172728997,0.12761009112066887,0.3572255465678076,1.3227615454737833
ARIMA-GJR_normal,0.2585323532344515,0.1279586724455406,0.35771311472399303,1.3230414191634612
ARIMA-GJR_skewt,0.2809761062860779,0.15320328670546576,0.39141191436320094,1.3256894683694018
ARIMA-GJR_t,0.2944934176437657,0.16963250910497463,0.41186467329084514,1.3274796898071046
GJR_skewt,0.2938515978032046,0.16902563720854336,0.41112727616705674,1.3279190636044926
GJR_t,0.3003088028640707,0.17789807862405319,0.42177965648434634,1.3286515624129944
