,MAE,MSE,RMSE,QLIKE
EGARCH_normal,0.24294917890455445,0.1111240434337642,0.33335273125289405,1.3209510036248258
ARIMA-EGARCH_normal,0.24938933508136935,0.11533165718854654,0.3396051489429254,1.321695704816711
ARIMA-EGARCH_skewt,0.27938317378140193,0.15129306272526832,0.3889640892489541,1.3250464890837848
EGARCH_skewt,0.2833927672192015,0.15579730907938547,0.3947116784177857,1.3256552671917938
EGARCH_t,0.2871049037744741,0.1598584445470557,0.3998230165298837,1.3262203803194388
ARIMA-EGARCH_t,0.2889837024937147,0.16193010498130936,0.40240539879741843,1.326467593332598
