,MAE,MSE,RMSE,QLIKE
ARIMA-GARCH_skewt,0.2241108128017125,0.09613830572953092,0.31006177727919143,1.3180092637935106
GARCH_skewt,0.22727166332744922,0.10078158600128169,0.3174611566810681,1.3184831926593372
GARCH_normal,0.23616639952148272,0.10761950019400354,0.32805411168586734,1.3199549049549242
ARIMA-GARCH_normal,0.24028278038779863,0.10935688250386676,0.3306915216691634,1.3204447639124748
GARCH_t,0.24367310091358158,0.11590407250867352,0.3404468717857069,1.3205622001058939
ARIMA-GARCH_t,0.2459557257167335,0.11708088579597423,0.3421708429950954,1.3206293933280766
